"","Row.names","CONTEO.x","CONTEO.y"
"1","ALTITUD",-0.418481626724679,0.0663086587517165
"2","CONTEO",1,NA
"3","DIST_AGRICOLA_MEAN",-0.324676157128553,0.1625091432043
"4","DIST_ELECTRICOS_MEAN",-0.209240813362339,0.375962846982745
"5","DIST_RIOS_MEAN",0.399531515325826,0.0809422478662483
"6","DIST_URBANIZACION_MEAN",-0.34426035707917,0.137194899678065
"7","HI",0.47217360902143,0.0355454298269873
"8","NDMI_HUMEDAD_MEAN",0.205292873487578,0.38523880314285
"9","NDVI_VEGETACION_MEAN",0.154759243090636,0.514734545847789
"10","PENDIENTES_MEAN",0.216347105136909,0.35958755801101
"11","SPD",0.524483478042574,0.017592231268525
"12","SUBTRANSECTO",-0.472963196996382,0.03519638457401
"13","TEMP_SUELO",0.396917202465757,0.0831350563106934
