"","Row.names","CONTEO.x","CONTEO.y"
"1","ALTITUD",-0.771184847253467,4.26698764210975e-05
"2","CONTEO",1,NA
"3","DIST_AGRICOLA_MEAN",-0.768502294288262,4.71255103224877e-05
"4","DIST_ELECTRICOS_MEAN",-0.753479072699178,8.03195018370673e-05
"5","DIST_RIOS_MEAN",0.406577045320705,0.0673964352244667
"6","DIST_URBANIZACION_MEAN",-0.790202160663629,2.02801261937058e-05
"7","HI",0.666261738783608,0.000975073391307202
"8","NDMI_HUMEDAD_MEAN",0.433463591866107,0.0496443521406293
"9","NDVI_VEGETACION_MEAN",0.349525105090219,0.120398312882712
"10","PENDIENTES_MEAN",-0.259684693462902,0.255624478384119
"11","SPD",0.133052755791665,0.565321568803911
"12","SUBTRANSECTO",-0.728559834437587,0.000180091568774632
"13","TEMP_SUELO",0.536419392052156,0.0121798621718465
