X_Long,Y_Lat,Altitud,Marca,Cañada,Escurrimiento
-96.36577,17.621415,1634.464355,1046,1,0
-96.391032,17.591051,1926.080322,1050,0,1
-96.365575,17.620975,1628.477783,1051,0,0
-96.362872,17.627587,1623.281006,1052,1,1
-96.376996,17.610938,1694.6604,1054,0,0
-96.365615,17.622185,1632.969849,1057,1,1
-96.37749,17.603971,1724.930542,1058,1,0
-96.386657,17.59584,1834.918091,1059,0,1
-96.388159,17.594017,1883.859497,1060,0,1
-96.376818,17.607172,1718.454712,1061,0,0
-96.368047,17.615505,1631.029175,1062,0,0
-96.367604,17.617992,1634.669312,1063,0,0
-96.365854,17.620601,1647.175293,1064,0,0
-96.360117,17.627889,1617.746704,1065,0,0
-96.35585,17.627261,1583.373657,1066,0,0
-96.364136,17.627815,1642.631592,1067,0,0
-96.363253,17.627752,1642.358765,1068,1,1
-96.363144,17.627736,1640.729004,1069,1,1
-96.363138,17.627752,1640.115601,1070,1,1
-96.362957,17.627724,1639.437134,1071,1,1
-96.362887,17.627691,1638.557007,1072,1,1
-96.362647,17.627533,1636.974243,1073,1,0
-96.361953,17.62751,1632.276978,1074,0,0
-96.36575,17.621471,1626.245483,1075,1,0
-96.365614,17.621066,1625.011475,1076,0,0
-96.365758,17.620964,1625.148926,1077,0,0
-96.368009,17.615985,1615.549561,1078,1,0
-96.378865,17.604494,1716.227295,1079,0,0
